M + R -> Pn; 2.2e+04
M + Pn -> Pn; 2.2e+04
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 6
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 6
CuII + Pn -> CuI + PnX; 1e+08
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -22000*y_1*y_2 - 22000*y_1*y_5
Pn:,dy_2/dt = 22000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 6*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -22000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 6*y_6*y_9
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 6*y_6*y_8 - 6*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 6*y_6*y_8 + 6*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 6*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 6*y_6*y_9
M1_Pn:,dy_10/dt = 22000*y_1*y_2 + 22000*y_1*y_5 - 220000000.0*y_10*y_2 - 100000000.0*y_10*y_5 - 100000000.0*y_10*y_7 + 6*y_14*y_6
M1_PnD:,dy_11/dt = 20000000.0*y_10*y_2 + 100000000.0*y_10*y_5
M1_PnDPn:,dy_12/dt = 200000000.0*y_10*y_2
M2_total:,dy_13/dt = 44000*y_1*y_10 + 22000*y_1*y_2 + 22000*y_1*y_5 + 200000000.0*y_10**2
M1_PnX:,dy_14/dt = 100000000.0*y_10*y_7 - 6*y_14*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.00275,0.0025,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,7.511466395122771e-09,5.499780394964253,5.984856765707512e-10,7.968603804816958e-11,3.542836697963216e-11,1.216470069465729e-09,0.0027499905230350843,0.0025000094769649156,0.0001475849446802947,0.02735240557835481,8.928929680195971e-10,1.18570426988829e-10,1.0543341628580522e-10,0.00043393076344336816,0.00021960391884847904,3.992818831768184e-05,3.9928985469117443e-05,128.10050615869747,1.327944754694565,2.7861851516837113e-05
1.2067926406393286,9.05488956802101e-09,5.499734983334387,5.998343452426298e-10,9.623470395779666e-11,4.2852077774937355e-11,1.2151191778077312e-09,0.002749988948218047,0.0025000110517819528,0.00017800507122569517,0.027321983876992372,8.95881203839295e-10,1.4327319155837473e-10,1.2759668025104534e-10,0.0005240990000271717,0.00026501549886007766,4.818484829320498e-05,4.8186009220342875e-05,128.17157329736972,1.3283151871737606,3.35884670091952e-05
1.4563484775012439,1.091298710095319e-08,5.499680181486933,6.014599022171123e-10,1.1623721256357723e-10,5.1855485790054156e-11,1.2134909443117747e-09,0.002749987052113866,0.002500012947886134,0.00021467054219766462,0.027285316509916224,8.994873420994215e-10,1.7316749778484347e-10,1.5450837853591545e-10,0.0006331114141904792,0.00031981728590195447,5.814882055768774e-05,5.815051126599859e-05,128.25736035932312,1.328761248010848,4.0483401036715906e-05
1.7575106248547918,1.3148798415552246e-08,5.49961404785532,6.034186944020284e-10,1.4042205011380555e-10,6.278567321164593e-11,1.2115289310688363e-09,0.0027499847702605602,0.0025000152297394397,0.0002588522620449356,0.027241132508215644,9.038391410291096e-10,2.0936461333183227e-10,1.8722652196157992e-10,0.0007649552134633945,0.000385950844248166,7.01731172145579e-05,7.017557946283213e-05,128.36092809736974,1.329298178185014,4.878106113487033e-05
2.120950887920191,1.5837484307570008e-08,5.499534239490342,6.057783078348991e-10,1.6967470406693268e-10,7.607087530090327e-11,1.209165443475163e-09,0.0027499820257554843,0.0025000179742445156,0.00031207462155388157,0.027187907404201624,9.09090769483655e-10,2.532226142736926e-10,2.270631074152275e-10,0.0009244833639004322,0.00046575912028005246,8.468372902874096e-05,8.468731489808047e-05,128.48597770601313,1.3299441740019666,5.876109368086817e-05
2.5595479226995357,1.906842587675199e-08,5.499437929111352,6.086197056476368e-10,2.0507291784059383e-10,9.224158855242922e-11,1.2063193891934838e-09,0.0027499787270789315,0.0025000212729210684,0.00037616371151578357,0.027123815015563168,9.154282644643748e-10,3.06405036847861e-10,2.7565306603368127e-10,0.0011176124340028322,0.0005620693911595462,0.00010219470702695203,0.00010219992926175622,128.63698646553078,1.3307209150947759,7.075629807889979e-05
3.088843596477481,2.294758071591791e-08,5.499321705028825,6.120397251531271e-10,2.4793039800016763e-10,1.1195807384190294e-10,1.202893777598339e-09,0.0027499747656392335,0.0025000252343607664,0.0004533036320685213,0.027046671133570732,9.230761154156717e-10,3.709549970497285e-10,3.350452995841527e-10,0.0013515699315387439,0.0006782933420957118,0.00012332635839549445,0.00012333396371621509,128.81937124313302,1.331654180849519,8.516155367855231e-05
3.72759372031494,2.7600068683489838e-08,5.499181450407427,6.161539709257126e-10,2.998512654337439e-10,1.3604646617801002e-10,1.1987728228626685e-09,0.002749970013060323,0.002500029986939677,0.0005461017274497593,0.026953868285610583,9.323052074835801e-10,4.493894895336013e-10,4.078239723722966e-10,0.0016352052814296325,0.0008185478030507667,0.000148827198649635,0.00014883827451609558,129.03969192198605,1.3327745000082327,0.00010244368320465308
4.498432668969445,3.317293490805806e-08,5.4990121976134105,6.211001342156597e-10,3.6279803064270563e-10,1.6554673773451023e-10,1.193818620405829e-09,0.002749964318254829,0.002500035681745171,0.0006576634272206091,0.02684230089103424,9.434424036212035e-10,5.448200042148746e-10,4.972721462178705e-10,0.0019793833001039147,0.0009878004010519742,0.00017960043392535724,0.00017961656401461302,129.30589616466196,1.3341178963840645,0.00012315209605152648
