M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
CuIsour -> CuI + CuIsour; 1.4e-08
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 1.4e-8*y_10 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 300*y_6*y_9
CuIsour:,dy_10/dt = 0
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,CuIsour,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0643372747478576e-15,5.499999907616862,1.2920824513434612e-12,8.449270548042221e-17,1.0241461040942956e-16,8.075639945611378e-13,1.3997897999894888e-08,0.0005500000021020001,3.55313965471164e-08,0.027499964466501457,1.0,3.3593824688351707e-12,2.1967964933263133e-16,5.32552596578135e-16,3.8799951347755883e-07,9.237977456618619e-08,1.6796934106237546e-08,1.6796934146841903e-08,223.8295096583105,1.615376786164501,8.558760731080505e-12
1.2067926406393286,3.1903963008660634e-15,5.499999865457298,1.559282700416562e-12,1.305821267583055e-16,1.5828024469741562e-16,9.74562932814372e-13,1.6892559485778444e-08,0.0005500000025374832,5.1746465778801073e-08,0.02749994825099674,1.0,4.054106232974395e-12,3.395115679206214e-16,8.230524967438477e-16,5.650680762203974e-07,1.3453864461279958e-07,2.4462309511363856e-08,2.4462309878295365e-08,223.83040055463266,1.6153783646956228,1.322741424370618e-11
1.4563484775012439,4.835705486732169e-15,5.499999804058105,1.8817381559213435e-12,1.9792437581108506e-16,2.399067292149719e-16,1.1760958033226686e-12,2.0385815337614838e-08,0.0005500000030633475,7.536134975531634e-08,0.0274999246355869,1.0,4.892494997695704e-12,5.146005719796592e-16,1.2475081714535823e-15,8.229428879214425e-07,1.9593699761398523e-07,3.5625799038091994e-08,3.562579967520319e-08,223.83113466946074,1.6153796391921937,2.0048884803538902e-11
1.7575106248547918,7.972201768179371e-15,5.499999714639296,2.270876016647327e-12,3.2630173594829194e-16,3.955155277363493e-16,1.4193029884271337e-12,2.4601449479427438e-08,0.0005500000036992687,1.0975288011462797e-07,0.02749989024342062,1.0,5.904263618695787e-12,8.4838149409301025e-16,2.0566734043947454e-15,1.1985009525741364e-06,2.853547953559658e-07,5.18837643555385e-08,5.188376571448291e-08,223.831889621782,1.6153809707615967,3.305285294400132e-11
2.120950887920191,1.300192955437929e-14,5.499999584414105,2.7404857210300736e-12,5.321699010169653e-16,6.45052877224056e-16,1.7128024000232779e-12,2.968884431855639e-08,0.0005500000044681124,1.598390172819122e-07,0.02749984015651461,1.0,7.1252658830615524e-12,1.3836390362306367e-15,3.3542683804203495e-15,1.745446808090215e-06,4.15578762454608e-07,7.55610717429921e-08,7.556107454029852e-08,223.83255728117376,1.6153821176614864,5.390620076307042e-11
2.5595479226995357,2.1728268324909654e-14,5.499999394760592,3.307209292643569e-12,8.893438617698493e-16,1.0779931987341956e-15,2.0669928118566355e-12,3.5828271942090404e-08,0.0005500000053989759,2.3278184166356223e-07,0.027499767212759364,1.0,8.598777429046297e-12,2.3122951450193762e-15,5.605567290700326e-15,2.541995185119842e-06,6.052308001861978e-07,1.1004352871359722e-07,1.1004353466940178e-07,223.8332661691771,1.6153833480493016,9.008581303326507e-11
3.088843596477481,3.622621048649143e-14,5.499999118558677,3.991130129656149e-12,1.4827552666850837e-15,1.7972852538472385e-15,2.494423474370214e-12,4.3237283493544446e-08,0.0005500000065268573,3.390119481141932e-07,0.027499660981525034,1.0,1.0377022447741977e-11,3.8551743870323304e-15,9.345909224016808e-15,3.702052878264124e-06,8.81430931222196e-07,1.6026205865412893e-07,1.6026207142803553e-07,223.83396750429645,1.6153845546490038,1.5019467731225813e-10
3.72759372031494,6.237330578263333e-14,5.4999987163122075,4.816488211450756e-12,2.5529896119490013e-15,3.0945599682591504e-15,3.01023466566491e-12,5.217841424611671e-08,0.0005500000078978384,4.937192372940026e-07,0.027499506272864873,1.0,1.2523049741696537e-11,6.637820208721822e-15,1.6091826283333736e-14,5.391515959040341e-06,1.2836752460427577e-06,2.33397780456037e-07,2.3339780759950893e-07,223.83491334141186,1.6153861826340574,2.5860151029491137e-10
4.498432668969445,1.0658038573006498e-13,5.499998130500929,5.812535412510131e-12,4.362465469911537e-15,5.287916945676997e-15,3.6326984244868237e-12,6.296849061305016e-08,0.0005500000095667527,7.190258441200282e-07,0.027499280964589132,1.0,1.5112940765736652e-11,1.1342549622084848e-14,2.749750604463434e-14,7.851983133877307e-06,1.869483918750601e-06,3.39908922019173e-07,3.399089798142331e-07,223.8360041336679,1.6153880576625048,4.418861276048382e-10
5.428675439323859,1.8367270471928563e-13,5.499997277355615,7.014579227706758e-12,7.518060861373503e-15,9.113024211561896e-15,4.383857539992048e-12,7.598984829695233e-08,0.0005500000116078538,1.047147699425095e-06,0.027498952840692724,1.0,1.823855746317849e-11,1.9547347065405544e-14,4.738866851935856e-14,1.1435325247315688e-05,2.722626078052362e-06,4.95026251747597e-07,4.950263743794507e-07,223.83745994156982,1.6153905586637969,7.615156872864833e-10
6.551285568595508,3.19379722430338e-13,5.499996034879499,8.46523135772907e-12,1.3073084976655051e-14,1.584676908297896e-14,5.290308853652713e-12,9.170387827378017e-08,0.0005500000141196868,1.5250003357405824e-06,0.027498474985544575,1.0,2.20107810746579e-11,3.3991075874552913e-14,8.240575675794246e-14,1.6654013329704867e-05,3.965098373369169e-06,7.209310002309621e-07,7.209312601663788e-07,223.8395065414672,1.615394075663105,1.3241685293561855e-09
7.906043210907698,5.581654257535961e-13,5.4999942254036895,1.0215925362583525e-11,2.28479454756492e-14,2.7696074999751437e-14,6.384136844194865e-12,1.1066736848497978e-07,0.0005500000172364679,2.2209046003328877e-06,0.0274977790781632,1.0,2.6563496316279156e-11,5.940743835692252e-14,1.4402633016008824e-13,2.4254436334999567e-05,5.774569542807804e-06,1.0499266019017093e-06,1.0499271531592805e-06,223.84243709586102,1.6153991105677206,2.3142018953772663e-09
9.54095476349994,9.779605682060229e-13,5.499991590182261,1.2328762060700255e-11,4.00336126834618e-14,4.852972980235255e-14,7.704025456339248e-12,1.3355221884784168e-07,0.0005500000211478413,3.2343500850832807e-06,0.027496765628767076,1.0,3.2058495806511993e-11,1.0409460384188869e-13,2.5237207771219846e-13,3.532370579097548e-05,8.409785323298948e-06,1.5290577707428488e-06,1.5290589397402068e-06,223.84664941505764,1.6154063468218283,4.054740510887963e-09
11.513953993264469,1.715742537636317e-12,5.499987752394974,1.4878698819856454e-11,7.023984397269936e-14,8.514989683778925e-14,9.296636231421969e-12,1.6116922428847607e-07,0.0005500000261316173,4.710208551406511e-06,0.027495289765316976,1.0,3.869114714394613e-11,1.8264222291655785e-13,4.4282463075396676e-13,5.1445264646081965e-05,1.2247565708974958e-05,2.2268372774838307e-06,2.2268397569763145e-06,223.85271050596702,1.6154167577746055,7.113753364671254e-09
13.894954943731374,3.0122061306438524e-12,5.499982163268861,1.7956250755944027e-11,1.2332667787192523e-13,1.495144659086656e-13,1.1218209873044102e-11,1.9449676018987e-07,0.0005500000326090225,6.859421356295446e-06,0.02749314054603468,1.0,4.669763814523728e-11,3.2069741981886413e-13,7.775917519056502e-13,7.492565041010137e-05,1.783668334238709e-05,3.2430420253087338e-06,3.2430472840505206e-06,223.86146341237105,1.6154317893701329,1.2489315419393125e-08
16.768329368110074,5.290267354235222e-12,5.4999740236179315,2.1670865808329854e-11,2.1662476811393857e-13,2.6264591708891643e-13,1.3536379481730543e-11,2.3471537172429458e-07,0.0005500000412394293,9.989100716635514e-06,0.027490010858043933,1.0,5.6364510730079656e-11,5.63347117811109e-13,1.366056372030044e-12,0.00010912505316483004,2.5976323774299214e-05,4.722978557903833e-06,4.722989711292494e-06,223.87418416020944,1.615453629886169,2.193521438737088e-08
20.235896477251565,9.292837848672961e-12,5.499962169586269,2.6154630072732872e-11,3.805929009898388e-13,4.615028633984865e-13,1.6332719066292325e-11,2.8324946689590656e-07,0.0005500000530837857,1.4546325172130204e-05,0.02748545362174408,1.0,6.803770044595608e-11,9.898518770352964e-13,2.40056756332147e-12,0.00015893921669081783,3.783034230256548e-05,6.878257042072536e-06,6.87828069732625e-06,223.89258010053112,1.615485201545466,3.853249627803554e-08
24.42053094548651,1.6324445915953677e-11,5.499944906278535,3.1567391729857405e-11,6.687638224905158e-13,8.110782946605914e-13,1.9705153706368408e-11,3.4181754532504785e-07,0.0005500000698879119,2.118178128953845e-05,0.027478818148822547,1.0,8.213789014976518e-11,1.7395793847851734e-12,4.219531938766875e-12,0.00023150287958385808,5.509363336669929e-05,1.0017040266354435e-05,1.0017090437335695e-05,223.9193680724254,1.6155311501963723,6.76922411918741e-08
29.4705170255181,2.8674942300939525e-11,5.499919765511783,3.8102640518963205e-11,1.1752129208732616e-12,1.4256697281808418e-12,2.3771149452006965e-11,4.1249266307260616e-07,0.0005500000945752847,3.0842232485685e-05,0.02746915767293903,1.0,9.917704604726555e-11,3.057590145676252e-12,7.418424556134147e-12,0.0003372167411404559,8.023437856290272e-05,1.45880887667134e-05,1.4588195173838042e-05,223.95843030830434,1.6155980978525326,1.189145261024526e-07
35.564803062231285,5.0361428295699315e-11,5.4998831531206,4.59948862121591e-11,2.0652565743855325e-12,2.5063412634258493e-12,2.8671239950352572e-11,4.977751373776816e-07,0.0005500001321054937,4.490467822430344e-05,0.027455095189670202,1.0,1.1978040014822797e-10,5.374891603746498e-12,1.304565839744044e-11,0.0004912489979827672,0.00011684674119803455,2.124488716358609e-05,2.1245112839430603e-05,224.01533465192506,1.6156955123170107,2.0887042689795106e-07
42.91934260128776,8.842556181750665e-11,5.499829835530447,5.552894380524364e-11,3.629392975573174e-12,4.406947991365599e-12,3.457283201911638e-11,6.006798257914319e-07,0.0005500001909706266,6.537065110500354e-05,0.02743462915792437,1.0,1.4471576012904959e-10,9.449800184511035e-12,2.294863056644512e-11,0.0007157347705900992,0.00017016429243772165,3.093899446423879e-05,3.09394730848917e-05,224.0981953116551,1.6158371182006217,3.6679582100294917e-07
51.7947467923121,1.551960346966238e-10,5.49975219249181,6.70516923977989e-11,6.37806172623819e-12,7.750643348930378e-12,4.167412388034504e-11,7.248406538929752e-07,0.0005500002858011994,9.514689743778636e-05,0.027404852816761013,1.0,1.749330046565636e-10,1.6617178948718592e-11,4.0386552838652065e-11,0.0010430059519774672,0.0002478072762525218,4.505591057999616e-05,4.505692562800878e-05,224.2188736826387,1.616042831960613,6.439104840753553e-07
62.505519252739695,2.7221903531188836e-10,5.4996391297718334,8.098728326086512e-11,1.1208063302135828e-11,1.3635853500971835e-11,5.0207607279086185e-11,8.746353758422039e-07,0.000550000441893696,0.00013844934139304812,0.02736155021671326,1.0,2.1161934717227309e-10,2.922851110683954e-11,7.111962094946047e-11,0.0015203514266713188,0.000360869916197681,6.561276875755533e-05,6.561492136933865e-05,224.394669431497,1.6163414255956545,1.1298138386035194e-06
