M + R -> Pn; 33100
M + Pn -> Pn; 33100
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 1000
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 1000
CuII + Pn -> CuI + PnX; 1e+08
TI -> 2 R; 9.1e-06
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -33100*y_1*y_2 - 33100*y_1*y_5
Pn:,dy_2/dt = 33100*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 1000*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -33100*y_1*y_5 + 1.456e-5*y_10 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 1000*y_6*y_9
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 1000*y_6*y_8 - 1000*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 1000*y_6*y_8 + 1000*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 1000*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 1000*y_6*y_9
TI:,dy_10/dt = -9.1e-6*y_10
M1_Pn:,dy_11/dt = 33100*y_1*y_2 + 33100*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 1000*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 66200*y_1*y_11 + 33100*y_1*y_2 + 33100*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 1000*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0275,0.00138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.077391124815214e-14,5.4999990195234165,7.992181079451314e-12,1.1118041424208911e-15,2.214253421647925e-15,2.4144859069249947e-12,2.0082285596812753e-08,0.0005499799177144034,2.2748181137737676e-07,0.02749979260047421,0.001379987442057141,3.4447070761011776e-11,4.791904987134346e-15,1.9086980653674864e-14,7.471192908879175e-06,9.804421126000066e-07,1.7826846972339314e-07,1.7826848562631594e-07,371.04620302626904,1.767980376516778,5.932444448679593e-11
1.2067926406393286,1.8562728179265362e-14,5.4999985886589915,9.587038314399698e-12,1.915600539037625e-15,3.815115580019034e-15,2.896257549134614e-12,2.423519862324574e-08,0.000549975764801377,3.2744586870926937e-07,0.027499696789329908,0.001379984845181235,4.132154461557736e-11,8.256378536898705e-15,3.2886854923100114e-14,1.0754487180383001e-05,1.4112996460086568e-06,2.5660745609198704e-07,2.5660748897422904e-07,371.04999523829053,1.7679827483103905,1.022129450121493e-10
1.4563484775012439,3.210964415068097e-14,5.499997964594763,1.1511740281857327e-11,3.3136531626193787e-15,6.5995387590509256e-15,3.4776501686083434e-12,2.9246886774671002e-08,0.0005499707531132256,4.722324173798032e-07,0.02749955701446939,0.0013799817112970102,4.961797800028932e-11,1.4282246511172725e-14,5.688962303133273e-14,1.5510079805005356e-05,2.0353555496599433e-06,3.700736794989077e-07,3.7007374800294515e-07,371.0540726749015,1.7679853004354902,1.7680863575055345e-10
1.7575106248547918,5.5704754359197016e-14,5.499997059870315,1.38345185921633e-11,5.748762278180267e-15,1.1449476372176596e-14,4.179257171621236e-12,3.529492896733782e-08,0.0005499647050710329,6.821308610877564e-07,0.02749935316406787,0.0013799779293580676,5.963067237368002e-11,2.4778206910643864e-14,9.869863505070789e-14,2.2404529310649413e-05,2.940069931520234e-06,5.34569033564222e-07,5.345691763727574e-07,371.0587501394311,1.767988223771931,3.067362522972017e-10
2.120950887920191,9.68637488467501e-14,5.499995747257094,1.6637722398402618e-11,9.996673679331954e-15,1.9910046008955075e-14,5.02592877542378e-12,4.2593620414952986e-08,0.0005499574063795854,9.86655131711453e-07,0.027499055938488694,0.0013799733653557856,7.171486691073195e-11,4.308816762261263e-14,1.7163457135512517e-13,3.2407516874868023e-05,4.252670979089661e-06,7.732259829589855e-07,7.732262818241011e-07,371.0642556581178,1.7679916669525046,5.333836892508808e-10
2.5595479226995357,1.6874646815344442e-13,5.499993841639266,2.0020747191062592e-11,1.741582763729454e-14,3.468707682374159e-14,6.047645113556459e-12,5.1401561643895555e-08,0.0005499485984383565,1.4287449084463188e-06,0.02749862265665319,0.0013799678575715196,8.62994900743093e-11,7.506808780507277e-14,2.9902598790007597e-13,4.6930016213601865e-05,6.158274063012094e-06,1.1197019516825693e-06,1.1197025786205436e-06,371.07101766371426,1.7679958940391587,9.29223452502626e-10
3.088843596477481,2.9441711552883553e-13,5.499991073630915,2.410356720441099e-11,3.0387307239166366e-14,6.052359105549039e-14,7.28057253444109e-12,6.203081437665924e-08,0.0005499379691856237,2.0708822417925537e-06,0.027497991148572574,0.0013799612108472724,1.0390250376611901e-10,1.3098295847722778e-13,5.217677871572102e-13,6.802550440416392e-05,8.926264532093442e-06,1.6229761972332633e-06,1.6229775142995072e-06,371.0795915497019,1.7680012539443302,1.6212785631963005e-09
3.72759372031494,5.143141532005177e-13,5.499987051159433,2.9031005492964284e-11,5.308641702719349e-14,1.0573712340922951e-13,8.768331732675163e-12,7.485794659794297e-08,0.0005499251420534024,3.003995574460324e-06,0.027497070862372127,0.0013799531896719964,1.251495477345932e-10,2.288341339827603e-13,9.115801925207169e-13,9.868304339422185e-05,1.294871427945877e-05,2.3543346485284515e-06,2.3543374200137773e-06,371.090710588297,1.7680082042546574,2.8322720619860737e-09
4.498432668969445,8.993618089612316e-13,5.499981203524313,3.497789489424241e-11,9.283754426378912e-14,1.849196863638521e-13,1.0563520579669676e-11,9.033735449111264e-08,0.0005499096626455092,4.360420224009013e-06,0.027495729917130472,0.0013799435098387869,1.5079658234351988e-10,4.002033574211746e-13,1.5943006728879425e-12,0.00014325425473394858,1.8796322898158255e-05,3.4175410340059837e-06,3.4175468738937193e-06,371.1054038837285,1.7680173874818876,4.952868094373545e-09
