"Macromolecules 2012, 45, 21, 8929–8932, Supporting Information",,,,,,,,,,,,,,,,,,,,
M + R -> Pn; 9700,,,,,,,,,,,,,,,,,,,,
M + Pn -> Pn; 1300,,,,,,,,,,,,,,,,,,,,
2 R -> 2 D; 2.5e+09,,,,,,,,,,,,,,,,,,,,
Pn + R -> D + PnD; 9e+07,,,,,,,,,,,,,,,,,,,,
2 Pn -> 2 PnD; 4.5e+07,,,,,,,,,,,,,,,,,,,,
2 Pn -> PnDPn; 4.5e+07,,,,,,,,,,,,,,,,,,,,
CuI + RX -> CuII + R; 14,,,,,,,,,,,,,,,,,,,,
CuII + R -> CuI + RX; 4.7e+07,,,,,,,,,,,,,,,,,,,,
CuI + PnX -> CuII + Pn; 140,,,,,,,,,,,,,,,,,,,,
CuII + Pn -> CuI + PnX; 4.7e+07,,,,,,,,,,,,,,,,,,,,
D:,dy_0/dt = 90000000.0*y_2*y_5 + 5000000000.0*y_5**2,,,,,,,,,,,,,,,,,,,
M:,dy_1/dt = -1300*y_1*y_2 - 9700*y_1*y_5,,,,,,,,,,,,,,,,,,,
Pn:,dy_2/dt = 9700*y_1*y_5 - 180000000.0*y_2**2 - 90000000.0*y_2*y_5 - 47000000.0*y_2*y_7 + 140*y_6*y_8,,,,,,,,,,,,,,,,,,,
PnD:,dy_3/dt = 90000000.0*y_2**2 + 90000000.0*y_2*y_5,,,,,,,,,,,,,,,,,,,
PnDPn:,dy_4/dt = 45000000.0*y_2**2,,,,,,,,,,,,,,,,,,,
R:,dy_5/dt = -9700*y_1*y_5 - 90000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 47000000.0*y_5*y_7 + 14*y_6*y_9,,,,,,,,,,,,,,,,,,,
CuI:,dy_6/dt = 47000000.0*y_2*y_7 + 47000000.0*y_5*y_7 - 140*y_6*y_8 - 14*y_6*y_9,,,,,,,,,,,,,,,,,,,
CuII:,dy_7/dt = -47000000.0*y_2*y_7 - 47000000.0*y_5*y_7 + 140*y_6*y_8 + 14*y_6*y_9,,,,,,,,,,,,,,,,,,,
PnX:,dy_8/dt = 47000000.0*y_2*y_7 - 140*y_6*y_8,,,,,,,,,,,,,,,,,,,
RX:,dy_9/dt = 47000000.0*y_5*y_7 - 14*y_6*y_9,,,,,,,,,,,,,,,,,,,
M1_Pn:,dy_10/dt = 1300*y_1*y_2 + 9700*y_1*y_5 - 180000000.0*y_10*y_2 - 90000000.0*y_10*y_5 - 47000000.0*y_10*y_7 + 140*y_14*y_6,,,,,,,,,,,,,,,,,,,
M1_PnD:,dy_11/dt = 90000000.0*y_10*y_2 + 90000000.0*y_10*y_5,,,,,,,,,,,,,,,,,,,
M1_PnDPn:,dy_12/dt = 90000000.0*y_10*y_2,,,,,,,,,,,,,,,,,,,
M2_total:,dy_13/dt = 2600*y_1*y_10 + 1300*y_1*y_2 + 9700*y_1*y_5 + 90000000.0*y_10**2,,,,,,,,,,,,,,,,,,,
M1_PnX:,dy_14/dt = 47000000.0*y_10*y_7 - 140*y_14*y_6,,,,,,,,,,,,,,,,,,,
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0,0,4.7,0,0,0,0,0.0188,0.0047,0,0.0235,0,0,0,0,0,0,0,0,1,0
1,2.59E-06,4.698899771,1.69E-08,3.39E-08,5.88E-09,2.22E-08,0.018797321,0.004702679,0.001033696,0.022463626,1.81E-08,3.58E-08,1.25E-08,0.001240798,0.001100162,0.000234091,0.000234119,106.5583004,1.059623694,0.011232234
1.206792641,3.10E-06,4.698668994,1.93E-08,4.74E-08,8.93E-09,2.20E-08,0.018796789,0.004703211,0.001241594,0.022255194,2.09E-08,5.04E-08,1.90E-08,0.001520894,0.001330916,0.000283193,0.000283233,107.323454,1.065970284,0.013488566
1.456348478,3.71E-06,4.698389042,2.22E-08,6.73E-08,1.38E-08,2.17E-08,0.018796152,0.004703848,0.001489869,0.022006283,2.43E-08,7.21E-08,2.96E-08,0.001869698,0.001610832,0.000342757,0.000342816,108.2497597,1.07344865,0.016188459
1.757510625,4.42E-06,4.698049111,2.57E-08,9.68E-08,2.16E-08,2.14E-08,0.01879539,0.00470461,0.001785718,0.021709672,2.83E-08,1.05E-07,4.67E-08,0.002306386,0.00195071,0.000415083,0.000415169,109.3718752,1.082217427,0.019418314
2.120950888,5.26E-06,4.697635889,2.98E-08,1.41E-07,3.41E-08,2.11E-08,0.018794478,0.004705522,0.002137337,0.021357141,3.33E-08,1.54E-07,7.47E-08,0.002856394,0.002363849,0.000503002,0.000503129,110.732228,1.092438579,0.023283568
2.559547923,6.24E-06,4.697132934,3.46E-08,2.09E-07,5.47E-08,2.06E-08,0.018793385,0.004706615,0.002553922,0.020939463,3.93E-08,2.30E-07,1.21E-07,0.003553788,0.002866675,0.000610014,0.0006102,112.3828946,1.104267902,0.027915521
3.088843596,7.38E-06,4.696519872,4.04E-08,3.12E-07,8.82E-08,2.02E-08,0.018792071,0.004707929,0.003045599,0.020446472,4.66E-08,3.49E-07,1.98E-07,0.004444621,0.003479534,0.000740453,0.000740727,114.3879904,1.117840909,0.033482307
3.72759372,8.69E-06,4.695771388,4.71E-08,4.72E-07,1.43E-07,1.96E-08,0.018790485,0.004709515,0.00362324,0.019867245,5.56E-08,5.36E-07,3.27E-07,0.00559173,0.004227694,0.000899705,0.00090011,116.8267243,1.133253172,0.040206843
4.498432669,1.02E-05,4.694855938,5.49E-08,7.22E-07,2.34E-07,1.89E-08,0.018788553,0.004711447,0.004298113,0.01919044,6.65E-08,8.34E-07,5.43E-07,0.007081612,0.005142619,0.001094481,0.001095081,119.7973294,1.150534361,0.048396257
