"Macromol. Theory Simul. 2008, 17, 359–375, Table 3",,,,,,The solvent was not specified in the literature. ,,,,,,,,,,,,,,
M + R -> Pn; 12000,,,,,,,,,,,,,,,,,,,,
M + Pn -> Pn; 900,,,,,,,,,,,,,,,,,,,,
2 R -> 2 D; 2.5e+09,,,,,,,,,,,,,,,,,,,,
Pn + R -> D + PnD; 1e+08,,,,,,,,,,,,,,,,,,,,
2 Pn -> 2 PnD; 1e+07,,,,,,,,,,,,,,,,,,,,
2 Pn -> PnDPn; 1e+08,,,,,,,,,,,,,,,,,,,,
CuI + RX -> CuII + R; 0.79,,,,,,,,,,,,,,,,,,,,
CuII + R -> CuI + RX; 8.4e+06,,,,,,,,,,,,,,,,,,,,
CuI + PnX -> CuII + Pn; 0.79,,,,,,,,,,,,,,,,,,,,
CuII + Pn -> CuI + PnX; 8.4e+06,,,,,,,,,,,,,,,,,,,,
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2,,,,,,,,,,,,,,,,,,,
M:,dy_1/dt = -900*y_1*y_2 - 12000*y_1*y_5,,,,,,,,,,,,,,,,,,,
Pn:,dy_2/dt = 12000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 8400000.0*y_2*y_7 + 0.79*y_6*y_8,,,,,,,,,,,,,,,,,,,
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5,,,,,,,,,,,,,,,,,,,
PnDPn:,dy_4/dt = 100000000.0*y_2**2,,,,,,,,,,,,,,,,,,,
R:,dy_5/dt = -12000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 8400000.0*y_5*y_7 + 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
CuI:,dy_6/dt = 8400000.0*y_2*y_7 + 8400000.0*y_5*y_7 - 0.79*y_6*y_8 - 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
CuII:,dy_7/dt = -8400000.0*y_2*y_7 - 8400000.0*y_5*y_7 + 0.79*y_6*y_8 + 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
PnX:,dy_8/dt = 8400000.0*y_2*y_7 - 0.79*y_6*y_8,,,,,,,,,,,,,,,,,,,
RX:,dy_9/dt = 8400000.0*y_5*y_7 - 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
M1_Pn:,dy_10/dt = 900*y_1*y_2 + 12000*y_1*y_5 - 220000000.0*y_10*y_2 - 100000000.0*y_10*y_5 - 8400000.0*y_10*y_7 + 0.79*y_14*y_6,,,,,,,,,,,,,,,,,,,
M1_PnD:,dy_11/dt = 20000000.0*y_10*y_2 + 100000000.0*y_10*y_5,,,,,,,,,,,,,,,,,,,
M1_PnDPn:,dy_12/dt = 200000000.0*y_10*y_2,,,,,,,,,,,,,,,,,,,
M2_total:,dy_13/dt = 1800*y_1*y_10 + 900*y_1*y_2 + 12000*y_1*y_5 + 200000000.0*y_10**2,,,,,,,,,,,,,,,,,,,
M1_PnX:,dy_14/dt = 8400000.0*y_10*y_7 - 0.79*y_14*y_6,,,,,,,,,,,,,,,,,,,
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0,0,5,0,0,0,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,1,0
1,8.64E-07,4.996495314,4.63E-07,1.05E-05,4.98E-05,7.91E-09,0.02488851,0.00011149,0.000370971,0.024517539,2.51E-06,9.02E-05,0.000859316,0.059107071,0.002552657,0.000700937,0.000701183,845.3973181,2.077728269,0.444073859
1.206792641,1.00E-06,4.995981621,4.33E-07,1.14E-05,5.40E-05,7.86E-09,0.024879224,0.000120776,0.000459562,0.024419662,2.23E-06,9.50E-05,0.000903068,0.064247056,0.003018118,0.000803676,0.000803999,796.6153341,2.090320776,0.481342185
1.456348478,1.16E-06,4.995395596,4.04E-07,1.24E-05,5.83E-05,7.81E-09,0.024869425,0.000130575,0.000567161,0.024302264,1.99E-06,9.98E-05,0.000946923,0.069770079,0.003555737,0.000920881,0.000921305,751.3526477,2.100444537,0.520651599
