M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
Cu0 + CuII -> Cu0 + 2 CuI; 0.0035
Cu0 + RX -> Cu0 + CuI + R; 0.0001
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 + 0.0001*y_10*y_9 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.007*y_10*y_7 + 0.0001*y_10*y_9 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.0035*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = -0.0001*y_10*y_9 + 100000000.0*y_5*y_7 - 300*y_6*y_9
Cu0:,dy_10/dt = 0
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Cu0,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.00275,0.00275,0.0,0.0275,0.0282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.606101526036476e-05,5.492797133512527,3.0784680015163827e-08,1.5631433390774527e-07,6.642280192975297e-08,5.066902489474038e-08,0.0027342535175911824,0.002766089055655928,0.00495279130550743,0.022530777065589532,0.0282,4.723606754476753e-08,2.2472110959748324e-07,1.9229576150644142e-07,0.01368384758680852,0.007202402234527779,0.0013096120886315016,0.0013104703799772415,125.1946625812558,1.3063807050343241,0.059455182538661853
1.1513953993264474,1.7968947706798947e-05,5.49171424275194,3.222257349783746e-08,1.8311499131062903e-07,8.145484332161023e-08,4.9116202933390953e-08,0.002732390482727252,0.002768002914216964,0.0056164467536330845,0.021865156935205736,0.0282,5.035373171495881e-08,2.6622580590690393e-07,2.388590862273304e-07,0.016065166289515743,0.008285201809428995,0.0015065013178290343,0.0015076372319200932,126.99900496404548,1.3143329914922517,0.06659989958091926
1.3257113655901092,2.002596428038049e-05,5.490469502838268,3.382120336669013e-08,2.1469211241885574e-07,1.0047248745421282e-07,4.739362228883939e-08,0.0027303803907020975,0.0027700712127456313,0.006355310911342431,0.02112416627246421,0.0282,5.3933120596978725e-08,3.160790486348112e-07,2.989158079069233e-07,0.018907174627090732,0.009529828233749017,0.0017328176657694623,0.0017343207309104451,129.09446287740946,1.3229888132090313,0.07433309588257371
1.5264179671752334,2.2222522588324212e-05,5.489038927224596,3.558976608438803e-08,2.5187562117810567e-07,1.2466094997224764e-07,4.549259282768507e-08,0.0027282316421291105,0.0027722865801696234,0.007173856306940896,0.020303338890590748,0.0282,5.8042081710480695e-08,3.7605121187821544e-07,3.7695330563358495e-07,0.02231195213641462,0.010960261728798722,0.001992922322800794,0.0019949108348992395,131.5310075181263,1.3323216016582518,0.0826317094888975
1.7575106248547918,2.4542511778365e-05,5.487394999595285,3.753529167568839e-08,2.956082001943231e-07,1.5557441427391034e-07,4.340695081318446e-08,0.0027259586219773855,0.002774635794536104,0.008075569017293383,0.01939920077165702,0.0282,6.275845308917092e-08,4.482771331573958e-07,4.790810680770081e-07,0.02640744916731047,0.012604010288052976,0.0022918182554027503,0.0022944484903092473,134.36809399123436,1.3422707907730314,0.0914518865712987
2.023589647725157,2.6962378304987468e-05,5.485506150012469,3.966178811446531e-08,3.469443926881068e-07,1.9524635086234248e-07,4.113394514941697e-08,0.002723582385565844,0.0027770991127834092,0.00906250114272441,0.01840971824614293,0.0282,6.817169775279828e-08,5.353182478945572e-07,6.136380117254171e-07,0.03135475744044809,0.014492632859565572,0.002635245452278344,0.0026387238238275513,137.67672061258435,1.3527323572891938,0.10072660145236458
2.329951810515372,2.9450588396990915e-05,5.483336149708505,4.196915152216635e-08,4.070419935583033e-07,2.463272955760855e-07,3.867534305708112e-08,0.0027211309649097038,0.0027796499822832868,0.010134748956077633,0.01733482011444609,0.0282,7.438470709284602e-08,6.402298175266753e-07,7.92025428633289e-07,0.037357562165516306,0.016662343651533476,0.003029790962090056,0.003034390070634564,141.54198177288816,1.3635485578874955,0.11036467266073234
2.6826957952797255,3.196765759615614e-05,5.480843411312887,4.445197475196273e-08,4.771431747478714e-07,3.122533872087359e-07,3.603859717123904e-08,0.0027186390623376347,0.002782255367889803,0.011289871581327398,0.01617697862055536,0.0282,8.15159241921008e-08,7.666321257668332e-07,1.029844783696325e-06,0.04467445338530276,0.019154710694270494,0.0034830161249296376,0.003489095947110653,146.0662250306718,1.3744975664105437,0.12025202743753266
3.088843596477481,3.446698715765475e-05,5.477980180154448,4.709827986117908e-08,5.585433914807687e-07,3.9744688276796557e-07,3.323803817499748e-08,0.0027161468930386994,0.002784876933797002,0.012522279673399965,0.014941819565967329,0.0282,8.970178485407382e-08,9.187849448243844e-07,1.348443508490133e-06,0.05363498745233822,0.02201746291530518,0.004003603608282124,0.004011639484688711,151.37295280616584,1.3852840919145275,0.1302560884169871
3.5564803062231287,3.6896637101422285e-05,5.474691602618307,4.9888253109660136e-08,6.525485102196348e-07,5.075453910110449e-07,3.0296007788322044e-08,0.0027136980555547284,0.0027874732025499147,0.01382263940776121,0.01363871613158423,0.0282,9.90994891840446e-08,1.1016669279141114e-06,1.7769995626281999e-06,0.06466067012360124,0.025305419615705024,0.004601526796671413,0.004612146411251996,157.61166583450756,1.395532338664944,0.14023373234059638
4.094915062380426,3.920212051653953e-05,5.470914657203415,5.279311614307157e-08,7.604227457730313e-07,6.496510472407253e-07,2.7243795512767597e-08,0.0027113363643287086,0.0027900027589698676,0.015177362847095059,0.012281295270636497,0.0282,1.0989010588529475e-07,1.321065144614005e-06,2.3553092394380853e-06,0.07829239390331423,0.029081556532086997,0.0052882441448336625,0.0053022764004263395,164.96382582796417,1.404783421811804,0.15004307402470551
4.714866363457394,4.133035968869916e-05,5.4665769330292076,5.5774328351420026e-08,8.833313850982244e-07,8.325847473118832e-07,2.4122178295674184e-08,0.002709101534479999,0.0027924286112975317,0.0165682911586037,0.010887750084321239,0.0282,1.2228193842836245e-07,1.5836852186608159e-06,3.1374824944922492e-06,0.09522632045357905,0.03341822352113243,0.006076921267416809,0.006095460900883747,173.65002545406634,1.4125003394513438,0.1595594929760769
5.428675439323859,4.323443058078014e-05,5.461595246639146,5.8783378994588766e-08,1.0222905353367011e-06,1.0671185256615659e-06,2.098132959746536e-08,0.0027070241399366596,0.0027947232914696837,0.01797268916835931,0.009480840108764665,0.0282,1.365141481069879e-07,1.8973074790757342e-06,4.196785844891769e-06,0.11636080502003195,0.038398522753373986,0.006982682429246106,0.0070071754407415015,183.9385330988532,1.4180832455589931,0.16869439333614536
6.250551925273973,4.4878483069833774e-05,5.455874090796522,6.176245854044994e-08,1.1781410945344058e-06,1.3661500646486928e-06,1.7879849057808404e-08,0.002705120519358461,0.002796874023621398,0.019363686923000625,0.008087444510398114,0.0282,1.5286049896074258e-07,2.27103415721175e-06,5.631912471241854e-06,0.14285771841223968,0.044117853396344026,0.008022892582450552,0.008055249163597799,196.15522330029071,1.4208979030093882,0.17741427015878386
