M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
Cu0 + CuII -> 2 CuI; 0.0035
Cu0 + RX -> CuI + R; 0.0001
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 + 0.0001*y_10*y_9 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.007*y_10*y_7 + 0.0001*y_10*y_9 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.0035*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = -0.0001*y_10*y_9 + 100000000.0*y_5*y_7 - 300*y_6*y_9
Cu0:,dy_10/dt = -0.0035*y_10*y_7 - 0.0001*y_10*y_9
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Cu0,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0275,0.0282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,4.422231494807162e-13,5.49999813581903,2.5209346821705943e-11,1.8104195590129036e-14,2.1947435959566715e-14,1.5751706314007224e-11,2.63613517483701e-07,0.0005498682139738961,7.169046652378587e-07,0.027499283053869485,0.028199868172508632,6.555489082070546e-11,4.707605791640413e-14,1.1413915309273114e-13,7.830408800375478e-06,1.864115259364011e-06,3.3894199447104256e-07,3.3894205182723955e-07,223.85359628002016,1.615418296776136,1.8335353345090134e-09
1.1513953993264474,6.657696762903599e-13,5.499997550207636,2.8895935857139182e-11,2.7257238885508828e-14,3.304448435552027e-14,1.8054290082852678e-11,3.03520554904645e-07,0.0005498482635772189,9.420960442093853e-07,0.027499057856246446,0.028199848215867886,7.514395191538702e-11,7.087824028274783e-14,1.718541580952818e-13,1.0290518431689816e-05,2.4497169832883375e-06,4.454167933881143e-07,4.454168925363853e-07,223.85843119039205,1.6154266017191725,2.7604213959523967e-09
1.3257113655901092,1.0041198525121844e-12,5.499996777107573,3.314108450300816e-11,4.111189256341071e-14,4.98424793028917e-14,2.0705413979285534e-11,3.494682120734744e-07,0.0005498252933896713,1.2393746820507036e-06,0.02749876057032653,0.028199825238398268,8.61867016507605e-11,1.0690813799919737e-13,2.59222641692199e-13,1.3538394191384637e-05,3.2228058799183134e-06,5.85980441220551e-07,5.859806128753951e-07,223.8639965596278,1.6154361610442391,4.163333467932286e-09
1.5264179671752334,1.5167861350712217e-12,5.499995755936465,3.8029503288496584e-11,6.21060387277087e-14,7.529796388916709e-14,2.3757807439815975e-11,4.023705777589854e-07,0.0005497988464695202,1.6320282112950732e-06,0.0274983679082719,0.028199798782952732,9.890393750010374e-11,1.6150691840724587e-13,3.9162511287195635e-13,1.782866048334338e-05,4.2439640844060414e-06,7.71647915504497e-07,7.716482131460815e-07,223.87044707963366,1.6154472414993772,6.2890476420991434e-09
1.7575106248547918,2.2943030547224155e-12,5.499994406449398,4.3658780194877524e-11,9.394904312855589e-14,1.1390999565286868e-13,2.72721604644394e-11,4.632799527852477e-07,0.0005497683967971142,2.150898953990238e-06,0.027497849027498994,0.028199768323250114,1.1355016361864136e-10,2.4432391029074553e-13,5.924687450053e-13,2.3498629977340643e-05,5.593436220928255e-06,1.0170092004102571e-06,1.0170097175394687e-06,223.8779974668642,1.6154602104157594,9.512989415115305e-09
2.023589647725157,3.4744759794655806e-12,5.499992622343582,5.014134876371019e-11,1.422882894745773e-13,1.7252918113366698e-13,3.131831729655119e-11,5.334076982674554e-07,0.000549733338861611,2.8368388083902593e-06,0.027497163075770117,0.028199733253440138,1.3041880134315275e-10,3.7005153461002047e-13,8.973990658822547e-13,3.099522980773243e-05,7.377524738446133e-06,1.3413920760414881e-06,1.3413929756413338e-06,223.8869345309323,1.6154755614239538,1.4406627749845424e-08
2.329951810515372,5.267090355766559e-12,5.499990262780276,5.760676419118238e-11,2.1572313223463238e-13,2.6158868146279317e-13,3.597664166860848e-11,6.141482056280368e-07,0.0005496929756918848,3.7439626278184987e-06,0.02749625593778278,0.028199692876102505,1.4984825423311275e-10,5.610650182168513e-13,1.360709528365037e-12,4.0910709740042073e-05,9.737067960269892e-06,1.7704035861563419e-06,1.7704051533900423e-06,223.8975984731992,1.6154938768245597,2.1839966730642826e-08
2.6826957952797255,7.991655228889154e-12,5.499987141146214,6.620433061915806e-11,3.273547251599629e-13,3.9698657005441515e-13,4.133958230986741e-11,7.071064440251786e-07,0.0005496465051064358,4.94395788302865e-06,0.02749505592546007,0.028199646388449556,1.7222893580025342e-10,8.514585309802429e-13,2.0651457477960523e-12,5.403001833849446e-05,1.2858678647613943e-05,2.3379734156750684e-06,2.337976148759485e-06,223.91043018942545,1.615515913257544,3.3138120342392536e-08
3.088843596477481,1.2134816511053905e-11,5.499983010154101,7.610614514967075e-11,4.971451710129593e-13,6.029524030319911e-13,4.751345579497504e-11,8.14129602883699e-07,0.0005495930039272921,6.5317950749320975e-06,0.027493468067467598,0.02819959286646984,1.9801149172415908e-10,1.2931911650248401e-12,3.1368412703648738e-12,7.139365370358636e-05,1.6989643464353574e-05,3.0890628907345983e-06,3.089067662007815e-06,223.92596953615046,1.6155425955556126,5.031951450229399e-08
3.5564803062231287,1.8437962338507836e-11,5.499977542090504,8.751062167941108e-11,7.555212125440694e-13,9.164289930475399e-13,5.462047733324558e-11,9.373434119716296e-07,0.0005495314098727347,8.633290632044849e-06,0.027491366546210514,0.028199531246715308,2.277164036658739e-10,1.9654803411883677e-12,4.768160645758161e-12,9.438108362828296e-05,2.2457675051312116e-05,4.083256271931129e-06,4.083264608340704e-06,223.94490570247902,1.615575104798386,7.645942377144358e-08
4.094915062380426,2.8030707358630216e-11,5.499970302629626,1.0064657960947339e-10,1.148869707248745e-12,1.3937578523152915e-12,6.28010610029832e-11,1.0791937926606392e-06,0.0005494605008110367,1.1415122514855316e-05,0.02748858468207041,0.02819946030539632,2.619452776328686e-10,2.9891323218412177e-12,7.252566451203816e-12,0.00012482148636250144,2.969709819331115e-05,5.399521886253276e-06,5.399536463650929e-06,223.96811782894733,1.6156149452335338,1.162439737109438e-07
4.714866363457394,4.263421813305918e-11,5.499960716117763,1.1577799505670132e-10,1.7479235722181e-12,2.1208924905411643e-12,7.221641165032109e-11,1.2424945647560082e-06,0.000549378871026789,1.5098088813794421e-05,0.027484901674567873,0.028199378634408467,3.0139417191297267e-10,4.548430205282706e-12,1.1037934035899079e-11,0.00016514082314837892,3.928356526278106e-05,7.142524043082042e-06,7.142549551114701e-06,223.99673647395727,1.6156640493029586,1.7681427885948948e-07
5.428675439323859,6.487105355088162e-11,5.499948019551108,1.3320953460077252e-10,2.660559488529856e-12,3.2289989279179518e-12,8.305142206933809e-11,1.4304820013341851e-06,0.000549284904124617,1.9974652329477113e-05,0.027480025057419956,0.028199284613874064,3.468694361326634e-10,6.924561542698222e-12,1.680804778915711e-11,0.00021855724951400083,5.198007829638555e-05,9.450990707613663e-06,9.451035368523277e-06,224.0322188646687,1.615724901891546,2.690531305281723e-07
6.250551925273973,9.873659142572753e-11,5.4999312015678115,1.5329301799657815e-10,4.051326062143523e-12,4.918303347453276e-12,9.551787612551702e-11,1.646877082349881e-06,0.0005491767421765346,2.643214230257832e-05,0.027473567496262,0.028199176380741132,3.993066808958278e-10,1.0546700194955384e-11,2.560736063793251e-11,0.0002893409143428987,6.87979967336201e-05,1.2508805852462501e-05,1.2508884088214274e-05,224.07645207386983,1.615800716855623,4.0954372430100947e-07
7.196856730011519,1.5031640628671722e-10,5.4999089215806585,1.764349920061546e-10,6.171244320195841e-12,7.494547941368832e-12,1.0985793390773077e-10,1.8959563312213346e-06,0.0005490522507192259,3.4983414461234e-05,0.027465016127769092,0.028199051792949566,4.597937132331635e-10,1.607006949222087e-11,3.9031982990501143e-11,0.0003831596128534005,9.107790445253277e-05,1.6559712607550576e-05,1.6559849721182667e-05,224.13188175654935,1.6158956482387177,6.235518054169118e-07
8.286427728546844,2.288752542872058e-10,5.4998794026000875,2.0310564355883824e-10,9.40327103454152e-12,1.1424779266224709e-11,1.263478361496373e-10,2.182632113628821e-06,0.0005489089792339676,4.630732371955991e-05,0.027453692085698877,0.028198908388652418,5.295985775938505e-10,2.4495333113606953e-11,5.952268192947259e-11,0.0005075391147872082,0.00012059678630221825,2.192679998409956e-05,2.1927040379792346e-05,224.20168384239025,1.6160150878033268,9.495566685607155e-07
9.54095476349994,3.485126799836113e-10,5.499840289215132,2.3384934489156407e-10,1.4331691394129219e-11,1.742270606646551e-11,1.453016975727063e-10,2.5125431885912727e-06,0.0005487441168261177,6.130207321366601e-05,0.02743869714994551,0.028198743339985306,6.102042931469534e-10,3.735118457232004e-11,9.08140440976819e-11,0.0006724769681149711,0.00015971004650519935,2.9038324521512106e-05,2.9038746141725186e-05,224.28999830278667,1.6161660177771846,1.446144667311533e-06
