M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
CuII + Reduc -> CuI + ReducX; 0.01
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.01*y_10*y_7 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.01*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 300*y_6*y_9
Reduc:,dy_10/dt = -0.01*y_10*y_7
ReducX:,dy_11/dt = 0.01*y_10*y_7
M1_Pn:,dy_12/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_12*y_2 - 100000000.0*y_12*y_5 - 100000000.0*y_12*y_7 + 300*y_16*y_6
M1_PnD:,dy_13/dt = 20000000.0*y_12*y_2 + 100000000.0*y_12*y_5
M1_PnDPn:,dy_14/dt = 200000000.0*y_12*y_2
M2_total:,dy_15/dt = 32000*y_1*y_12 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_12**2
M1_PnX:,dy_16/dt = 100000000.0*y_12*y_7 - 300*y_16*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Reduc,ReducX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0275,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.3273744774777455e-15,5.499999900192482,1.3959404343310204e-12,5.432952475975218e-17,6.585385192902659e-17,8.724526944801625e-13,1.5122480564759647e-08,0.0005499848775194355,3.838650016843007e-08,0.027499961611229938,0.0027499848752495283,1.5124750471300158e-08,3.6294709243549724e-12,1.4125652416133716e-16,3.4243942414306947e-16,4.191862841657395e-07,9.980388507535416e-08,1.8146821419277745e-08,1.8146821658341637e-08,223.83172958092715,1.6153806129215273,5.503315294892912e-12
1.2067926406393286,2.3163460075482154e-15,5.499999854644535,1.684626003757452e-12,9.480925567360514e-17,1.1492087177374595e-16,1.0528687389415834e-12,1.8249635154658473e-08,0.0005499817503648455,5.5904472659834266e-08,0.027499944092787214,0.0027499817476247094,1.8252375290398173e-08,4.380085242852418e-12,2.4650500335135555e-16,5.975907851202752e-16,6.104901032610032e-07,1.4535108212968733e-07,2.6428266443965433e-08,2.6428266781058476e-08,223.8331622214853,1.6153831161176895,9.603625479161136e-12
1.4563484775012439,4.055505433443739e-15,5.4999997883105,2.0330134902114217e-12,1.6599594362735124e-16,2.0120965240565163e-16,1.2705923653944783e-12,2.202343325873295e-08,0.0005499779765667414,8.141678816331206e-08,0.027499918579903616,0.0027499779732585113,2.2026741488509232e-08,5.285940203921989e-12,4.315936738785158e-16,1.0463004005980938e-15,8.89098805622749e-07,2.116842097164236e-07,3.848899994678008e-08,3.8489000578717865e-08,223.83459603318082,1.615385595292843,1.6814257025026882e-11
1.7575106248547918,7.116680262319313e-15,5.499999691704519,2.4534507144014877e-12,2.912966436841825e-16,3.5309391472262366e-16,1.5333378242391885e-12,2.657758255324679e-08,0.000549973422417447,1.1857162377655455e-07,0.027499881424381332,0.0027499734184225437,2.6581577455950163e-08,6.379148174594863e-12,7.573835526220406e-16,1.8361181012664486e-15,1.2948559590246657e-06,3.082890961191806e-07,5.605372376361505e-08,5.605372542234466e-08,223.83608972426623,1.615388172617194,2.950605358344997e-11
2.120950887920191,1.249732441346051e-14,5.499999551011783,2.9608399015140496e-12,5.115434103860115e-16,6.200716321933855e-16,1.8504141870359274e-12,3.2073434209640117e-08,0.0005499679265657906,1.7268193443093586e-07,0.027499827313240077,0.0027499679217402873,3.207825971273975e-08,7.698467279505505e-12,1.33004595110576e-15,3.224452671327194e-15,1.8857894133500013e-06,4.4898051103606295e-07,8.163422132218495e-08,8.16342247120073e-08,223.8377323681159,1.615391002678485,5.1814585775393804e-11
2.5595479226995357,2.1955346047042222e-14,5.499999346112943,3.5731664353512535e-12,8.986985706475495e-16,1.0893780073409955e-15,2.2330548485633666e-12,3.8705696384208465e-08,0.000549961294303616,2.514851693842072e-07,0.027499748508999375,0.0027499612884723614,3.871152763829301e-08,9.290678643650872e-12,2.3366971015859504e-15,5.664961547962476e-15,2.746410486626673e-06,6.538777556283768e-07,1.1888855588892966e-07,1.1888856303253888e-07,223.83958723036164,1.615394198786926,9.102836593589732e-11
3.088843596477481,3.858266712767937e-14,5.499999047706926,4.312137247786352e-12,1.5793370248812359e-15,1.914453699969382e-15,2.6948149683898018e-12,4.670932779004525e-08,0.0005499532906722102,3.662496009352121e-07,0.027499633743348136,0.002749953283621267,4.671637873317299e-08,1.1212250179346679e-11,4.106460558391515e-15,9.95560601926681e-15,3.999801913257174e-06,9.52281843771074e-07,1.7314419522371985e-07,1.73144210190096e-07,223.84173113033611,1.6153978857493052,1.599669510999977e-10
3.72759372031494,6.780651697754085e-14,5.499998613120705,5.203951697605585e-12,2.7756532894935575e-15,3.3646684263314874e-15,3.2520507511767917e-12,5.6367854662273825e-08,0.0005499436321453379,5.333853139355453e-07,0.027499466606152764,0.002749943623612024,5.6376387976229734e-08,1.353134732440254e-11,7.217117043058974e-15,1.7497290401232223e-14,5.825225469665991e-06,1.3868657351856744e-06,2.5215987181132443e-07,2.5215990358432787e-07,223.84431879620885,1.6154023361435144,2.811327531625359e-10
4.498432668969445,1.1916947316539285e-13,5.499997980206632,6.280232628936648e-12,4.878341700605535e-15,5.9136778236269575e-15,3.924497233880155e-12,6.802340434603041e-08,0.0005499319765956543,7.767905073494909e-07,0.02749922319915206,0.002749931966255049,6.803374495106377e-08,1.6330264357175103e-11,1.2684622972305664e-14,3.075339047387694e-14,8.483764953913174e-06,2.019776990850731e-06,3.6723515783876337e-07,3.67235225188975e-07,223.84748678780616,1.6154077826214268,4.940915291390994e-10
