M + R -> Pn; 663
M + Pn -> Pn; 663
2 R -> 2 D; 2e+08
Pn + R -> D + PnD; 2e+08
2 Pn -> 2 PnD; 0
2 Pn -> PnDPn; 2e+08
3 M -> 2 R; 2.25e-12
TI -> 2 R; 4.17e-05
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 200000000.0*y_2*y_5 + 400000000.0*y_5**2
M:,dy_1/dt = -6.75e-12*y_1**3 - 663*y_1*y_2 - 663*y_1*y_5
Pn:,dy_2/dt = 663*y_1*y_5 - 400000000.0*y_2**2 - 200000000.0*y_2*y_5
PnD:,dy_3/dt = 200000000.0*y_2*y_5
PnDPn:,dy_4/dt = 200000000.0*y_2**2
R:,dy_5/dt = 4.5e-12*y_1**3 - 663*y_1*y_5 - 200000000.0*y_2*y_5 - 400000000.0*y_5**2 + 6.672e-5*y_6
TI:,dy_6/dt = -4.17e-5*y_6
M1_Pn:,dy_7/dt = 663*y_1*y_2 + 663*y_1*y_5 - 400000000.0*y_2*y_7 - 200000000.0*y_5*y_7
M1_PnD:,dy_8/dt = 200000000.0*y_5*y_7
M1_PnDPn:,dy_9/dt = 400000000.0*y_2*y_7
M2_total:,dy_10/dt = 663*y_1*y_2 + 663*y_1*y_5 + 1326*y_1*y_7 + 400000000.0*y_7**2
Tmol% does not apply to conventional radical polymerization.
time (s),D,M,Pn,PnD,PnDPn,R,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1.0,9.203926053770351e-15,4.9999990997916335,5.236389290079972e-10,9.192641002019428e-15,1.9336446910674215e-11,1.696778345886468e-13,0.0,8.522929213960926e-07,9.987021101756877e-12,4.7061706155445674e-08,0.002013743068074366,1.8004167330332165e-07,1.8004168955873695e-07,172669.1821489601,1.349290478894095,100.0
1.2067926406393286,1.3199833144070399e-14,4.999998709389625,6.131084305568518e-10,1.3186165945591258e-14,3.275809402400864e-11,1.6967689185979386e-13,0.0,1.194281006793942e-06,1.7146081152084946e-11,9.529398871785611e-08,0.0034996840853083323,2.581220750030866e-07,2.581221083473627e-07,208114.71288118963,1.3570322869751588,100.0
1.4563484775012439,1.881292204492066e-14,4.99999816103919,7.095932246622626e-10,1.8796382953384465e-14,5.4697599331247817e-11,1.6967586678633657e-13,0.0,1.6482620368479794e-06,2.9157143261102874e-11,1.8944082107325643e-07,0.0060493347549133315,3.6779216205928833e-07,3.677922296488823e-07,250589.2419593471,1.367199829851753,100.0
1.7575106248547918,2.6592352085633615e-14,4.999997400984757,8.091387198860812e-10,2.657234367139258e-14,8.961881615185283e-11,1.6967479603671633e-13,0.0,2.229896864842638e-06,4.895499324683792e-11,3.675865242986826e-07,0.010373543958229686,5.198030486042171e-07,5.19803183734803e-07,301170.69832048885,1.3802726525152174,100.0
2.120950887920191,3.719818145613357e-14,4.999996364832084,9.060199176904188e-10,3.71739879171353e-14,1.433849974544717e-10,1.6967373381407048e-13,0.0,2.941652593640398e-06,8.085506268107631e-11,6.916449162737882e-07,0.017585752651867338,7.270335832032515e-07,7.270338475134662e-07,360765.72721220524,1.3965950076532714,100.0
2.5595479226995357,5.137546613151821e-14,4.99999497976454,9.93521991498151e-10,5.134622197662852e-14,2.2297488279447608e-10,1.696727439267763e-13,0.0,3.7642642735904764e-06,1.3083590591655194e-10,1.253680734214358e-06,0.029340492263414925,1.0040470920458234e-06,1.0040475961611911e-06,429787.7505929788,1.4162781329953285,100.0
3.088843596477481,6.992051273639422e-14,4.999993167981424,1.0655675594109338e-09,6.988517340185202e-14,3.357974371448123e-10,1.6967188332103887e-13,0.0,4.6523637376985224e-06,2.0662048587112135e-10,2.176842010893193e-06,0.04793192110907159,1.3664037151528418e-06,1.3664046487058496e-06,507732.99847360514,1.4391288573696548,100.0
3.72759372031494,9.365319921526962e-14,4.999990849387727,1.1186472678856925e-09,9.361050439964462e-14,4.888814662081797e-10,1.6967118249577038e-13,0.0,5.539410505016066e-06,3.174464954145575e-10,3.60773917183923e-06,0.07628326010219731,1.8301224546490858e-06,1.8301241293361294e-06,592823.4771436108,1.4645795679925242,100.0
4.498432668969445,1.234245388605597e-13,4.999987940841103,1.1529809171561144e-09,1.233729676188397e-13,6.884819507283162e-10,1.6967063356178208e-13,0.0,6.35278521125385e-06,4.735506635255177e-10,5.7021045934488055e-06,0.11778367593793586,2.411831779447482e-06,2.411834687829969e-06,681999.773502966,1.4915682504334977,100.0
5.428675439323859,1.6017593943108554e-13,4.999984350367076,1.1720893103500602e-09,1.601136562437821e-13,9.405196133947698e-10,1.696701942292785e-13,0.0,7.033072358161658e-06,6.855693531811105e-10,8.611294569039851e-06,0.17601112814547276,3.1299265847550826e-06,3.129931482944762e-06,771456.4347346589,1.5183917652312966,100.0
6.551285568595508,2.0503902615118156e-13,4.999979967408289,1.1810305796549866e-09,2.0496381592719226e-13,1.25173484187159e-09,1.6966980520799846e-13,0.0,7.548423900434884e-06,9.641565072455254e-10,1.24776760353308e-05,0.2544703523041347,4.006518342158927e-06,4.006526368336471e-06,857550.2765051319,1.5427648463019101,100.0
7.906043210907698,2.594443059733611e-13,4.999974652207146,1.1844488335549466e-09,2.5935349556806165e-13,1.6309917175244114e-09,1.696694094708794e-13,0.0,7.898511882162023e-06,1.320072219350745e-09,1.74412902190913e-05,0.3565000739043722,5.069558570802713e-06,5.069571420967781e-06,937590.1961200151,1.5623045286076245,100.0
9.54095476349994,3.2521075744643857e-13,4.9999682270526025,1.1854799412912968e-09,3.2510112094798205e-13,2.0902214016192295e-09,1.696689628293317e-13,0.0,8.108592994159747e-06,1.7648450302226259e-09,2.3654539445877183e-05,0.4854397317994344,6.354589479506956e-06,6.354609669964011e-06,1010111.6483605084,1.575316095605179,100.0
11.513953993264469,4.0461300934491827e-13,4.999960469716581,1.185713200756233e-09,4.044806537862512e-13,2.6449195447775363e-09,1.6966843394479073e-13,0.0,8.21763485832931e-06,2.311937485819703e-09,3.1300621828171286e-05,0.6450364242273644,7.906056683815165e-06,7.906087936797582e-06,1074664.3206581017,1.5813964339064512,100.0
13.894954943731374,5.004432869766745e-13,4.999951107401038,1.1857487175572877e-09,5.002835144115024e-13,3.3144447237225852e-09,1.696677981602413e-13,0.0,8.265262788600643e-06,2.978168914372386e-09,4.061263429319717e-05,0.8399715611420305,9.778519792469353e-06,9.77856760261064e-06,1131417.6198828474,1.5814584838792627,100.0
16.768329368110074,6.160912478863984e-13,4.9999398089370715,1.1857489839870798e-09,6.158983889530509e-13,4.122439070269919e-09,1.6966703132790482e-13,0.0,8.282175723477928e-06,3.785069071559073e-09,5.18909540951636e-05,1.0763488515992836,1.2038212585707696e-05,1.2038285045517088e-05,1180849.6339147752,1.5771961710732512,100.0
20.235896477251565,7.556533110820482e-13,4.999926174101999,1.185744467720632e-09,7.55420524161309e-13,5.097515826592596e-09,1.696661060136041e-13,0.0,8.28685418676205e-06,4.759948398626068e-09,6.551721018359314e-05,1.3620453702672024,1.4765179600217948e-05,1.4765288606503608e-05,1223575.4373845425,1.570403881866955,100.0
24.42053094548651,9.240740217587966e-13,4.999909719805827,1.1857386363019845e-09,9.237930506166518e-13,6.274220849040571e-09,1.6966498929071843e-13,0.0,8.287799450360075e-06,5.93675125439336e-09,8.196585367782101e-05,1.7069511462565978,1.8056038834579623e-05,1.8056201846880608e-05,1260263.9489532888,1.5625228185687972,100.0
29.4705170255181,1.1273203136913167e-12,4.99988986306248,1.1857315738474273e-09,1.1269811950299503e-12,7.694244354183618e-09,1.6966364169550988e-13,0.0,8.287908881806817e-06,7.356966587498067e-09,0.00010181680670794917,2.123206705764699,2.2027387504053308e-05,2.2027630110517004e-05,1291592.064631909,1.5545088077343496,100.0
35.564803062231285,1.372592681174358e-12,4.999865900353271,1.185723050216614e-09,1.3721833917446778e-12,9.40789574264148e-09,1.6966201545247456e-13,0.0,8.287881969756607e-06,9.070860840956876e-09,0.0001257726872583286,2.6255408929928628,2.681992934583377e-05,2.6820289006597673e-05,1318215.2054825493,1.5469066644186025,100.0
42.91934260128776,1.6685800907258925e-12,4.9998369827144735,1.185712764116534e-09,1.668086121520617e-12,1.1475884819689449e-08,1.6966005295067225e-13,0.0,8.28783523731696e-06,1.1139144020456707e-08,0.00015468209966379196,3.2317480803196816,3.260345710529577e-05,3.260398860951021e-05,1340748.1711374356,1.5399829173015422,100.0
51.7947467923121,2.0257675399350476e-12,4.999802085677582,1.1857003515314232e-09,2.025171382408291e-12,1.3971471041198215e-08,1.696576846708361e-13,0.0,8.28777891666771e-06,1.3635085149537139e-08,0.00018956920912352704,3.963305113114974,3.958286448355608e-05,3.958364790584352e-05,1359753.9020379628,1.5338371215823798,100.0
62.505519252739695,2.456807106294151e-12,4.999759973001123,1.1856853677376256e-09,2.4560876324518372e-12,1.6983056551407935e-08,1.696548267252436e-13,0.0,8.287708771245798e-06,1.664709910151403e-08,0.00023166990768719087,4.846129219011945,4.800539977534157e-05,4.800655207131305e-05,1375738.2382649926,1.5284750742724633,100.0
75.43120063354615,2.97696556216637e-12,4.999709152913972,1.1856672934920435e-09,2.976097276634038e-12,2.0617314451556698e-08,1.696513778896486e-13,0.0,8.287624637251473e-06,2.0281873992129686e-08,0.00028247553988969477,5.911495035274025,5.8169417205533594e-05,5.817110911178038e-05,1389148.9761108025,1.5238529611942035,100.0
91.02981779915217,3.60466431847516e-12,4.999647825326417,1.1856454691413592e-09,3.60361645614663e-12,2.5002962586476702e-08,1.6964721602374326e-13,0.0,8.287521821144434e-06,2.4668146088737018e-08,0.0003437856851941183,7.197141858469477,7.04349347165234e-05,7.043741537298018e-05,1400377.818904702,1.5199034235065938,100.0
109.85411419875584,4.362130674345345e-12,4.999573818149448,1.1856191493646076e-09,4.3608661117925105e-12,3.029531558537272e-08,1.6964219375235177e-13,0.0,8.287399635804538e-06,2.996125191773306e-08,0.00041777181195203105,8.748608931819277,8.523637011048635e-05,8.52400029363476e-05,1409764.1101339606,1.5165505018687846,100.0
