M + R -> Pn; 9700
M + Pn -> Pn; 833
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 9e+07
2 Pn -> 2 PnD; 4.5e+07
2 Pn -> PnDPn; 4.5e+07
CuI + RX -> CuII + R; 14
CuII + R -> CuI + RX; 4.7e+07
CuI + PnX -> CuII + Pn; 140
CuII + Pn -> CuI + PnX; 4.7e+07
TI -> 2 R; 9.1e-06
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 90000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -833*y_1*y_2 - 9700*y_1*y_5
Pn:,dy_2/dt = 9700*y_1*y_5 - 180000000.0*y_2**2 - 90000000.0*y_2*y_5 - 47000000.0*y_2*y_7 + 140*y_6*y_8
PnD:,dy_3/dt = 90000000.0*y_2**2 + 90000000.0*y_2*y_5
PnDPn:,dy_4/dt = 45000000.0*y_2**2
R:,dy_5/dt = -9700*y_1*y_5 + 1.456e-5*y_10 - 90000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 47000000.0*y_5*y_7 + 14*y_6*y_9
CuI:,dy_6/dt = 47000000.0*y_2*y_7 + 47000000.0*y_5*y_7 - 140*y_6*y_8 - 14*y_6*y_9
CuII:,dy_7/dt = -47000000.0*y_2*y_7 - 47000000.0*y_5*y_7 + 140*y_6*y_8 + 14*y_6*y_9
PnX:,dy_8/dt = 47000000.0*y_2*y_7 - 140*y_6*y_8
RX:,dy_9/dt = 47000000.0*y_5*y_7 - 14*y_6*y_9
TI:,dy_10/dt = -9.1e-6*y_10
M1_Pn:,dy_11/dt = 833*y_1*y_2 + 9700*y_1*y_5 - 180000000.0*y_11*y_2 - 90000000.0*y_11*y_5 - 47000000.0*y_11*y_7 + 140*y_15*y_6
M1_PnD:,dy_12/dt = 90000000.0*y_11*y_2 + 90000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 90000000.0*y_11*y_2
M2_total:,dy_14/dt = 1666*y_1*y_11 + 833*y_1*y_2 + 9700*y_1*y_5 + 90000000.0*y_11**2
M1_PnX:,dy_15/dt = 47000000.0*y_11*y_7 - 140*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0275,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.95043110335171e-15,5.4999999621358935,1.445175418968106e-12,2.1405199522287587e-16,7.209462598350184e-17,7.00192716980339e-13,4.003767011196347e-08,0.0005499599623298879,3.216215958697731e-08,0.02750000787551053,0.002749974975113883,1.7013268985264012e-12,2.519903014068882e-16,1.697452356310686e-16,5.128575986726769e-08,3.786240449802216e-08,6.884383003063538e-09,6.884383039923793e-09,117.86472128187971,1.1505515683361345,8.395172183787597e-12
1.2067926406393286,2.5124893842171633e-15,5.499999952780487,1.5282821681289375e-12,2.757412214759461e-16,9.287245386533437e-17,7.404452609298048e-13,4.8317440280552654e-08,0.0005499516825597194,4.010891976080332e-08,0.027500008208520523,0.002749969800180012,1.7991686914729171e-12,3.246138576766417e-16,2.1866657389338936e-16,6.395762156134404e-08,4.7217712644676016e-08,8.585365953515313e-09,8.585365936846932e-09,117.8649903748586,1.150553504296729,1.0814456412450102e-11
1.4563484775012439,3.3018015256735403e-15,5.499999940794223,1.6285805664216138e-12,3.6237881267903164e-16,1.220536501323374e-16,7.89022140494871e-13,5.830938510132504e-08,0.0005499416906148986,5.0290365620915076e-08,0.027500008019019483,0.0027499635551208683,1.917251177687743e-12,4.2660849073147075e-16,2.8737405673729194e-16,8.019310888192384e-08,5.920385885907025e-08,1.0764686758141745e-08,1.0764686861689487e-08,117.86532722072741,1.1505559394479508,1.4211955049517264e-11
1.7575106248547918,4.3809810377382485e-15,5.499999925315408,1.7496276930455581e-12,4.808366600705279e-16,1.619527466386096e-16,8.476449740021797e-13,7.036756020290639e-08,0.000549929632439797,6.34384420575966e-08,0.027500006929118147,0.0027499560186483377,2.0597625369538285e-12,5.660640746506412e-16,3.8131720907438657e-16,1.011593974601077e-07,7.468253105980505e-08,1.357901669895124e-08,1.3579016707685758e-08,117.86567885505814,1.1505584889093647,1.8857175240312713e-11
2.120950887920191,5.8274737657596834e-15,5.499999905159212,1.8957170786809617e-12,6.396115220219024e-16,2.154313480185399e-16,9.183914947372856e-13,8.491923298822883e-08,0.0005499150807670117,8.055958614393167e-08,0.027500004359646845,0.0027499469237162546,2.231758224370962e-12,7.529830274527484e-16,5.072334157412027e-16,1.2846133435920123e-07,9.48385547574378e-08,1.7243779575954413e-08,1.7243779810812033e-08,117.86599924883123,1.1505608046228952,2.5083447213886057e-11
2.5595479226995357,8.02809275080275e-15,5.49999987868408,2.072036337872613e-12,8.811985526104816e-16,2.9680513366873557e-16,1.0037690624055396e-12,1.0248001997099023e-07,0.0005498975199800289,1.0304796592074317e-07,0.027499999432054053,0.0027499359480592017,2.4393475568147274e-12,1.0373970846611659e-15,6.988318510916175e-16,1.6432302834919145e-07,1.213134786856145e-07,2.20574399957162e-08,2.2057440297469436e-08,117.86652397209781,1.1505645773320399,3.455600571182074e-11
3.088843596477481,1.1128244822110382e-14,5.499999843602259,2.2848420654480214e-12,1.2215492444298141e-15,4.1144627657393157e-16,1.1068039410589352e-12,1.236721545821201e-07,0.0005498763278454177,1.3284688720676102e-07,0.027499990825267377,0.002749922702775376,2.689897942637898e-12,1.4380842456211332e-15,9.687606932400605e-16,2.1184321895538598e-07,1.563950496286492e-07,2.843595290549026e-08,2.8435953409552827e-08,117.86706227048106,1.1505684813169055,4.790067861704748e-11
3.72759372031494,1.5685505835057946e-14,5.499999796704377,2.5416944753575828e-12,1.7219162782477396e-15,5.799892908165309e-16,1.2311482514136245e-12,1.4924652974123742e-07,0.0005498507534702586,1.726822145530566e-07,0.02749997656431519,0.0027499067185492816,2.9923135788378315e-12,2.027160139006385e-15,1.3656078874313378e-15,2.7536978875532637e-07,2.0329262788601945e-07,3.6962840545904575e-08,3.6962841215232254e-08,117.86771424404967,1.1505731698813182,6.751782070886815e-11
4.498432668969445,2.251123227935395e-14,5.4999997334650805,2.8517223453195617e-12,2.4714292527881564e-15,8.324595849177378e-16,1.3812097335379119e-12,1.8010929789208799e-07,0.0005498198907021078,2.263975253052934e-07,0.027499953711772593,0.0027498874290265815,3.357346842125395e-12,2.909560954301852e-15,1.960073896610152e-15,3.6103349216704486e-07,2.665315577960651e-07,4.8460894448835876e-08,4.846089567672556e-08,117.86851284489586,1.150578922419843,9.690029346173667e-11
5.428675439323859,3.294757251726148e-14,5.499999647472837,3.2259487352207467e-12,3.6175888662233054e-15,1.2185504265608766e-15,1.5623082144032014e-12,2.1735396839377092e-07,0.000549782646031606,2.994382084768204e-07,0.02749991791575992,0.0027498641507527183,3.797982233547519e-12,4.2589524541789045e-15,2.869175376075975e-15,4.775209538193294e-07,3.5252335913095245e-07,6.409584782121866e-08,6.409584990518363e-08,117.86952282975906,1.150586205512855,1.418264081331147e-10
6.551285568595508,4.921306763742277e-14,5.499999529606045,3.67770454352995e-12,5.404258744201091e-15,1.820423177339173e-15,1.7808638387896614e-12,2.62300138335287e-07,0.0005497376998616645,3.995510491206631e-07,0.02749986274908922,0.0027498360589655255,4.329927684227019e-12,6.362462339711567e-15,4.286387696351879e-15,6.371913374632516e-07,4.703896150906375e-07,8.552617361798101e-08,8.552617736883286e-08,117.87081656401304,1.1505955229864777,2.1184790085928075e-10
