M + R -> Pn; 12000
M + Pn -> Pn; 900
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 0.79
CuII + R -> CuI + RX; 8.4e+06
CuI + PnX -> CuII + Pn; 0.79
CuII + Pn -> CuI + PnX; 8.4e+06
TI -> 2 R; 2.6e-05
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -900*y_1*y_2 - 12000*y_1*y_5
Pn:,dy_2/dt = 12000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 8400000.0*y_2*y_7 + 0.79*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -12000*y_1*y_5 + 4.16e-5*y_10 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 8400000.0*y_5*y_7 + 0.79*y_6*y_9
CuI:,dy_6/dt = 8400000.0*y_2*y_7 + 8400000.0*y_5*y_7 - 0.79*y_6*y_8 - 0.79*y_6*y_9
CuII:,dy_7/dt = -8400000.0*y_2*y_7 - 8400000.0*y_5*y_7 + 0.79*y_6*y_8 + 0.79*y_6*y_9
PnX:,dy_8/dt = 8400000.0*y_2*y_7 - 0.79*y_6*y_8
RX:,dy_9/dt = 8400000.0*y_5*y_7 - 0.79*y_6*y_9
TI:,dy_10/dt = -2.6e-5*y_10
M1_Pn:,dy_11/dt = 900*y_1*y_2 + 12000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 8400000.0*y_11*y_7 + 0.79*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 1800*y_1*y_11 + 900*y_1*y_2 + 12000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 8400000.0*y_11*y_7 - 0.79*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.055,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,2.061269839293525e-14,4.999999785780036,2.3994783481687082e-11,1.528777272163968e-14,5.5190406215373226e-14,1.847232952533384e-12,1.1437252433248833e-07,0.0005498856274756671,1.085014572191367e-07,0.055000005871067126,0.0027499285009296055,4.737094758468182e-11,3.017736960010989e-14,2.178882498025077e-13,6.314832479412979e-07,2.1417234215233235e-07,4.284399288678742e-08,4.28439938785671e-08,205.58306272833005,1.4933920451948266,2.659659700824025e-10
1.2067926406393286,2.509673003898856e-14,4.999999740336358,2.4202396095263068e-11,1.8614841023211218e-14,6.72022222530106e-14,1.8631356260635062e-12,1.3802866840083834e-07,0.0005498619713315988,1.3151952883717437e-07,0.05500000650913958,0.002749913715679969,4.7781836928279986e-11,3.6745806248764654e-14,2.653167036729682e-13,7.654731699542841e-07,2.596155537590114e-07,5.1932728339920686e-08,5.193272965595172e-08,205.58904925699244,1.493406803974255,3.2384730103312903e-10
1.4563484775012439,3.061100668339839e-14,4.999999684975257,2.4452965706662898e-11,2.270662798511134e-14,8.197512129987752e-14,1.8823268717266835e-12,1.6657655884677744e-07,0.0005498334234411529,1.5956030409959943e-07,0.055000007016254765,0.0027498958730553698,4.8277766560323613e-11,4.482417252864275e-14,3.236486211030575e-13,9.287095969917592e-07,3.1497609296602894e-07,6.300494863609174e-08,6.300495060367377e-08,205.59485807775985,1.4934211335042697,3.9503250412411776e-10
1.7575106248547918,3.7416556290570826e-14,4.999999617408549,2.4755386566942395e-11,2.7757020377929887e-14,1.0020923694775993e-13,1.9054867491135103e-12,2.0102769518021102e-07,0.0005497989723048194,1.937823404369718e-07,0.05500000724535476,0.002749874340861471,4.8876354727007385e-11,5.4795381990969615e-14,3.956494370658232e-13,1.1279427009263293e-06,3.8254211950689294e-07,7.651829019295064e-08,7.651829321622139e-08,205.600693507674,1.4934355178915033,4.828946373891283e-10
2.120950887920191,4.5851866255016535e-14,4.999999534766531,2.512039725452912e-11,3.401750529490442e-14,1.228127429871507e-13,1.9334359520020836e-12,2.426027121246384e-07,0.000549757397287875,2.356384926682826e-07,0.05500000696421947,0.0027498483561928413,4.9598877986075824e-11,6.715614681049978e-14,4.8490661955674e-13,1.3716392719619573e-06,4.6518331358564386e-07,9.304669372767193e-08,9.304669801415846e-08,205.60676670882583,1.4934504968392996,5.918088318622225e-10
2.5595479226995357,5.636073849793491e-14,4.999999433428243,2.5560964367213618e-11,4.181792073628117e-14,1.5097682460774982e-13,1.9671648915514727e-12,2.927746110597821e-07,0.0005497072253889399,2.869617413295147e-07,0.05500000581286975,0.002749816998412923,5.04710344028196e-11,8.255799754280579e-14,5.961260756262781e-13,1.6704842678330397e-06,5.665206024728354e-07,1.1331435132433398e-07,1.1331435769403115e-07,205.61330880958414,1.493466622233946,7.275132880903923e-10
3.088843596477481,6.95317050154928e-14,4.999999308794062,2.6092746627426717e-11,5.1595825444560446e-14,1.8628179549718594e-13,2.007868793978911e-12,3.5332092402205426e-07,0.0005496466790759777,3.5008016481137083e-07,0.05500000324075923,0.0027497791565510438,5.152386783382389e-11,1.0186534626409919e-13,7.355517307325832e-13,2.038053033947917e-06,6.911535723183122e-07,1.3824118756389224e-07,1.3824119714882247e-07,205.62057363238756,1.49348453054796,8.976202208262275e-10
3.72759372031494,8.615340309030264e-14,4.999999154978378,2.673465649845465e-11,6.393778151944507e-14,2.3084627108328086e-13,2.056990056998666e-12,4.2638665408313214e-07,0.0005495736133459166,4.279722816741911e-07,0.05499999841437243,0.002749733489964053,5.279488791338225e-11,1.2623711416743198e-13,9.115554451640675e-13,2.4917199325054463e-06,8.449677850088201e-07,1.690043243129935e-07,1.690043386755135e-07,205.62884004828942,1.4935049060907235,1.112334048684199e-09
4.498432668969445,1.0729814586108067e-13,4.999998964390707,2.7509540192293617e-11,7.964170886388165e-14,2.8755251837247476e-13,2.1162693644046672e-12,5.145602156420655e-07,0.0005494854397843576,5.244786859252168e-07,0.05499999008152974,0.0027496783808728135,5.432942827252815e-11,1.5725005764216935e-13,1.1355284175737072e-12,3.0538976634893527e-06,1.0355536666132867e-06,2.0712185868632105e-07,2.0712188018000954e-07,205.63843350973198,1.4935285469153252,1.3855361663089307e-09
